timestamp,ip,latencia_ms,perda_pacotes_pct,jitter_ms,status_real
2026-09-13 21:11:49,193.0.14.129,0.7,0.0,0.02,OK
2026-09-13 21:11:51,193.0.14.129,41.8,0.0,0.04,OK
2026-09-13 21:11:42,193.0.14.129,312.54,0.0,0.14,RISCO
2026-09-13 21:11:40,193.0.14.129,1.43,0.0,0.09,OK
2026-09-13 21:11:58,193.0.14.129,3.8,0.0,1.61,OK
2026-09-13 21:11:51,193.0.14.129,49.59,0.0,0.03,OK
2026-09-13 21:11:48,193.0.14.129,205.14,0.0,0.18,RISCO
2026-09-13 21:11:51,193.0.14.129,16.89,0.0,0.26,OK
2026-09-13 21:11:45,193.0.14.129,22.15,0.0,0.03,OK
2026-09-13 21:11:48,193.0.14.129,1.6,0.0,0.04,OK
2026-09-13 21:11:48,193.0.14.129,24.2,0.0,0.03,OK
2026-09-13 21:11:43,193.0.14.129,31.0,0.0,5.47,OK
2026-09-13 21:11:57,193.0.14.129,19.91,0.0,0.1,OK
2026-09-13 21:11:53,193.0.14.129,56.94,0.0,0.1,OK
2026-09-13 21:11:43,193.0.14.129,234.64,0.0,0.01,RISCO
2026-09-13 21:11:51,193.0.14.129,96.18,0.0,0.19,RISCO
2026-09-13 21:11:59,193.0.14.129,22.37,0.0,0.29,OK
2026-09-13 21:11:52,193.0.14.129,15.55,0.0,0.07,OK
2026-09-13 21:11:44,193.0.14.129,5.76,0.0,0.02,OK
2026-09-13 21:11:41,193.0.14.129,17.11,0.0,3.46,OK
2026-09-13 21:11:44,193.0.14.129,6.98,0.0,0.03,OK
2026-09-13 21:11:43,193.0.14.129,16.31,0.0,0.07,OK
2026-09-13 21:11:57,193.0.14.129,51.32,0.0,0.53,OK
2026-09-13 21:11:58,193.0.14.129,12.06,0.0,3.43,OK
2026-09-13 21:11:57,193.0.14.129,29.62,0.0,3.57,OK
2026-09-13 21:11:54,193.0.14.129,26.9,0.0,0.01,OK
2026-09-13 21:11:42,193.0.14.129,0.7,0.0,0.02,OK
2026-09-13 21:11:50,193.0.14.129,193.11,0.0,0.04,RISCO
2026-09-13 21:11:41,193.0.14.129,85.17,0.0,4.99,RISCO
2026-09-13 21:11:58,193.0.14.129,122.84,0.0,0.03,RISCO
2026-09-13 21:11:57,193.0.14.129,82.71,0.0,0.05,RISCO
2026-09-13 21:11:43,193.0.14.129,149.88,0.0,0.06,RISCO
2026-09-13 21:11:41,193.0.14.129,297.91,0.0,0.06,RISCO
2026-09-13 21:11:41,193.0.14.129,115.96,0.0,0.12,RISCO
2026-09-13 21:11:48,193.0.14.129,-1,100.0,0.0,FALHA
2026-09-13 21:11:52,193.0.14.129,35.78,33.33,0.04,FALHA
2026-09-13 21:11:56,193.0.14.129,112.68,0.0,0.1,RISCO
2026-09-13 21:11:50,193.0.14.129,81.54,0.0,10.94,RISCO
2026-09-13 21:11:48,193.0.14.129,144.3,0.0,0.03,RISCO
2026-09-13 21:11:40,193.0.14.129,108.97,0.0,0.04,RISCO
2026-09-13 21:11:59,193.0.14.129,147.5,0.0,0.67,RISCO
2026-09-13 21:11:48,193.0.14.129,103.94,0.0,11.36,RISCO
2026-09-13 21:11:44,193.0.14.129,-1,100.0,0.0,FALHA
